Course	Coursename	Description	ACM_Matches	ACM_Match_Score
CS 196	Freshman Honors	concurrently	Concurrency:DBMS Internals:Parallel and Distributed Computing:Coordination:Basic Concepts:Scheduling:Resource Management:Performance and Energy Efficiency:Sustainability Issues:Fundamental Data Structures:Heterogeneous Architectures:Memory Hierarchy:Assembly Level Machine Organization	[1.01338342 1.06629012 1.07319766 1.08008808 1.08351642 1.08578938 1.11323603 1.12711356 1.14836175 1.16532323 1.17043336 1.17116749 1.17196467]
CS 199	Undergraduate Open Seminar in Computer Science	topics grading	Evaluating the Design:Teamwork:Understanding the User; Individual Goals and Interactions With Others:Data Analytics:Applications and Societal Impact:Digital Forensics:Game:Interactive:Social Context:Professional Ethics:Agents and Cognitive Systems	[1.02224495 1.05433311 1.05777875 1.06735028 1.07920995 1.08094169 1.10004101 1.10966767 1.11547192 1.11703582 1.11738127]
CS 210	Ethical & Professional Issues	computing licensing privacy cs	Privacy and Civil Liberties:Professional Ethics:Security Analysis, Design, and Engineering:Security Governance:Data Security and Privacy:Foundational Security:Product Requirements:Secure Coding:Intellectual Property:Accessibility and Inclusive Design:Economies of Computing:Interactive	[0.59635851 0.69988366 0.76502096 0.81965363 0.82581835 0.831793 0.85765987 0.90206239 0.92073356 0.95312154 0.95347034 0.95809538]
CS 211	Ethical and Professional Conduct	navigating computing privacy cybersecurity analyze perspectives professionally technically peer workshops editing revising cs satisfies criteria	Evaluating the Design:Teamwork:Game:Applications and Societal Impact:Product Requirements:Interactive:Professional Ethics:Data Analytics:Social Context:Digital Forensics:Agents and Cognitive Systems:Economies of Computing:Robotics:Accessibility and Inclusive Design:Web:Secure Coding:Diversity, Equity, Inclusion, and Accessibility:Models for Ethical Analysis:Privacy and Civil Liberties:Mobile:Fundamental Issues:Computing History:Sustainability	[0.54346181 0.60375018 0.67212246 0.67582815 0.68229103 0.75494024 0.76950105 0.771058   0.83813813 0.85415844 0.85720396 0.93165519 0.94814921 0.95609241 0.96741969 0.96923892 0.99260672 1.00096204 1.01126168 1.01298523 1.02877935 1.03121286 1.03644499]
CS 222	Software Design Lab	implementation software software implementation deployment emphasizes software framework documentation teamwork majors undergraduate curricula	Social Context:Common Aspects/Shared Concerns:Interactive:Formal Development Methodologies:Teamwork:Mobile Platforms:Economies of Computing:Sustainability:Role and Purpose of Operating Systems:Computing History:Real-time and Embedded Systems:Foundational Security:Web:Game	[0.68233006 0.6980034  0.71590096 0.73436967 0.75178289 0.78464858 0.79412225 0.79843325 0.83176051 0.83603624 0.86091532 0.86786017 0.86799409 0.86979915]
CS 225	Data Structures	abstractions stacks queues implementation programming computational graphs algorithms satisfies criteria quantitative ii	Quantum Architectures:Probabilistic Representation and Reasoning:Search:Fundamental Issues:Logical Representation and Reasoning:Perception and Computer Vision:Interactive Computing Platforms:Fundamental Knowledge Representation and Reasoning:Machine Learning:Natural Language Programming:Foundational Data Structures and Algorithms:Data Modeling:Agents and Cognitive Systems:Logic Programming:Calculus:Complexity:Algorithms:Functional Programming	[0.5486373  0.56810735 0.59705522 0.69685273 0.71186757 0.71869948 0.76236442 0.79792005 0.812249   0.81346631 0.82930647 0.83502713 0.86761253 0.87562922 0.87797228 0.8847805  0.88706522 0.88750633]
CS 233	Computer Architecture	fundamentals architecture digital programming implementation architectures optimization software hardware primitives parallelism	Heterogeneous Architectures:Basic Concepts:Overview of Computer Systems:Performance and Energy Efficiency:Assembly Level Machine Organization:Performance Evaluation:Embedded Platforms:Functional Organization:Principles of Operating Systems:Common Aspects/Shared Concerns:Sustainability Issues:Computing History:Resource Management:System Performance:Scheduling:Digital Logic and Digital Systems:Interfacing and Communication	[0.48235654 0.524904   0.53407454 0.57568463 0.66650334 0.68875622 0.69129155 0.71848046 0.73017729 0.73346639 0.73834692 0.78133819 0.81266004 0.82699293 0.83556205 0.83606282 0.84079833]
CS 240	Introduction to Computer Systems	basics representations processors fetch execute hierarchy directories programming	Fundamental Programming Concepts and Practices:Principles of Operating Systems:Advanced Programming Constructs:Basic Concepts:Functional Programming:Computing History:Agents and Cognitive Systems:Program Abstraction and Representation:Programs:Systems Execution and Memory Model:Fundamental Data Structures:Scheduling:Resource Management	[0.88644108 0.94178112 0.95229131 0.99568833 1.00438615 1.00556209 1.02128437 1.03011622 1.03310183 1.03849709 1.04479523 1.0471429 1.04882774]
CS 241	System Programming	basics programming posix inter synchronization directories programming socket programming rpc programming programming debugging ece	Advanced Programming Constructs:Parallel and Distributed Computing:Fundamental Programming Concepts and Practices:Object-Oriented Programming:Concurrency:Design Principles of Programming Languages:Mobile Platforms:Software Design:Scheduling:Programs:Basic Concepts:Common Aspects/Shared Concerns:Principles of Operating Systems:Agents and Cognitive Systems:Formal Development Methodologies:Heterogeneous Architectures	[0.68580903 0.90862486 0.91059138 0.98015767 0.99550786 0.99831464 1.02149873 1.03571896 1.03822804 1.048388   1.05014359 1.06099046 1.06460895 1.08279079 1.08424864 1.08483665]
CS 242	Programming Studio	programming lab programming	Interactive:Advanced Programming Constructs:Social Context:Data Analytics:Teamwork	[0.93964746 0.96404655 0.96995609 0.9707681  0.97084304]
CS 265	Innovation Illinois: From Accessible Design to Supercomputing Cultures	innovation introduces histories uiuc interdisciplinary innovations researchers humanities histories innovations innovation campuses accessibility online basics video editing video	Data Analytics:Evaluating the Design:Teamwork:Applications and Societal Impact:Digital Forensics:Social Context:Agents and Cognitive Systems:Interactive:Game:Professional Ethics	[0.75088359 0.76413024 0.77074746 0.79048195 0.829975   0.85897682 0.88959696 0.89559398 0.89621829 0.89837628]
CS 277	Algorithms and Data Structures for Data Science	algorithms topics algorithm notation stacks queues graphs basics discrete algorithm greedy divide conquer programming discrete optimization concurrently cs	Quantum Architectures:Search:Foundational Data Structures and Algorithms:Complexity:Probabilistic Representation and Reasoning:Algorithms:Perception and Computer Vision:Algorithmic Strategies:Fundamental Issues:Interactive Computing Platforms:Machine Learning:Calculus:Fundamental Knowledge Representation and Reasoning:Cryptography:Logical Representation and Reasoning:Natural Language Programming:Program Analysis and Analyzers:Logic Programming:Agents and Cognitive Systems:Data Modeling:Robotics:Data Analytics:Computing History	[0.52475417 0.56896761 0.76994591 0.79397345 0.81927901 0.82996314 0.8437549  0.85217577 0.86694458 0.86819222 0.88155896 0.89450018 0.89585262 0.90982278 0.91792438 0.92474743 0.9280643  0.95259054 0.9595567  0.96273058 0.97468111 0.97640117 0.97952253]
CS 296	Honors Course	concurrently	Concurrency:DBMS Internals:Parallel and Distributed Computing:Coordination:Basic Concepts:Scheduling:Resource Management:Performance and Energy Efficiency:Sustainability Issues:Fundamental Data Structures:Heterogeneous Architectures:Memory Hierarchy:Assembly Level Machine Organization	[1.01338342 1.06629012 1.07319766 1.08008808 1.08351642 1.08578938 1.11323603 1.12711356 1.14836175 1.16532323 1.17043336 1.17116749 1.17196467]
CS 307	Modeling and Learning in Data Science	modeling solving centric unsupervised supervised interpretability	Fundamental Knowledge Representation and Reasoning:Probabilistic Representation and Reasoning:Machine Learning:Natural Language Programming:Data Modeling:Interactive Computing Platforms:Fundamental Issues:Data Analytics:Perception and Computer Vision:Logical Representation and Reasoning:Quantum Architectures:Search:Agents and Cognitive Systems:Computing History:Robotics:Social Context:Calculus:Statistics:Probability:Design Principles of Programming Languages:Image Processing:Applications and Societal Impact:Software Construction:Logic Programming:Complexity	[0.55414939 0.58230301 0.60310458 0.60719409 0.60902856 0.61481256 0.61704174 0.70300472 0.77308199 0.78213098 0.81350627 0.83473935 0.85583473 0.90510275 0.90984107 0.92498798 0.95887024 0.96656192 0.96662783 0.97589051 0.98716671 0.98862155 0.99442836 0.99444357 0.99977819]
CS 357	Numerical Methods I	fundamentals floating computation equations approximation integrals nonlinear equations programming routines cs las	Calculus:Complexity:Probabilistic Representation and Reasoning:Perception and Computer Vision:Probability:Quantum Architectures:Linear Algebra:Discrete Mathematics	[0.50825711 0.71644208 0.81732327 0.81763228 0.87164451 0.88598898 0.89064464 0.89156656]
CS 361	Probability & Statistics for Computer Science	topics visualizing datasets summarizing descriptive conditional bayes theorem conditional distributions expectation variance covariance theorem markov inequality chebyshev inequality markov chains simulation pagerank algorithm populations likelihood estimation bayes estimation regression majors	Probability:Statistics:Machine Learning:Fundamental Knowledge Representation and Reasoning:Probabilistic Representation and Reasoning:Natural Language Programming:Perception and Computer Vision:Calculus:Fundamental Issues:Interactive Computing Platforms:Quantum Architectures:Logical Representation and Reasoning:Image Processing:Data Modeling:Complexity:Search:Data Analytics:Robotics:Visualization:Foundational Data Structures and Algorithms:Linear Algebra:Discrete Mathematics:Simulation:Computing History	[0.45639406 0.52577108 0.5870159  0.64127186 0.73603189 0.79691681 0.80124899 0.82742953 0.86598493 0.86644063 0.89176055 0.90089047 0.90408499 0.91474108 0.94902598 0.96119471 0.97472577 0.9933582 1.02758523 1.03405188 1.03593374 1.05193327 1.05528802 1.0559053 ]
CS 374	Introduction to Algorithms & Models of Computation	algorithms paradigms algorithm recursive algorithms divide conquer algorithms programming greedy algorithms algorithms computation automata turing computation arising algorithm theoretic constraints reductions undecidability np completeness	Search:Quantum Architectures:Complexity:Algorithmic Strategies:Logic Programming:Foundational Data Structures and Algorithms:Probabilistic Representation and Reasoning:Algorithms:Program Analysis and Analyzers:Logical Representation and Reasoning:Perception and Computer Vision:Discrete Mathematics:Calculus:Machine Learning:Fundamental Issues:Fundamental Knowledge Representation and Reasoning:Interactive Computing Platforms:Software Construction:Robotics	[0.46640656 0.65574444 0.76494732 0.78406412 0.8026745  0.80460349 0.81947351 0.82472183 0.8426947  0.85186939 0.87157404 0.87772116 0.88241272 0.89623242 0.91386232 0.92661089 0.93745174 0.93967422 0.94374672]
CS 397	Individual Study	 	 	 
CS 398	Special Topics	offerings augment departmental topics prerequisites topics	Teamwork:Digital Forensics:Evaluating the Design:Game:Professional Ethics:Economies of Computing:Social Context:Product Requirements:Applications and Societal Impact:Data Analytics:Agents and Cognitive Systems:Interactive:Secure Coding:Communication:Robotics:Web:Accessibility and Inclusive Design:Computing History:Understanding the User; Individual Goals and Interactions With Others:Diversity, Equity, Inclusion, and Accessibility:Privacy and Civil Liberties:Mobile Platforms:Models for Ethical Analysis:Sustainability:Protection and Safety:Network Fundamentals:Foundational Security	[0.92541777 0.9651758  0.97076505 0.97383096 0.98676782 0.99078198 0.99124368 0.9967962  1.00098693 1.00755619 1.01902153 1.02045373 1.05566822 1.06124292 1.06484252 1.08632003 1.0887251  1.10678269 1.10696698 1.11071389 1.11511754 1.13086755 1.13305178 1.13633622 1.14118004 1.1420462  1.1425647 ]
CS 400	Accelerated Fundamentals of Computing I	introduces computing solving computational topics programming conditional loops sorting algorithms visualization programming undergraduate baccalaureate computing	Quantum Architectures:Fundamental Issues:Interactive Computing Platforms:Search:Data Analytics:Logical Representation and Reasoning:Agents and Cognitive Systems:Probabilistic Representation and Reasoning:Data Modeling:Perception and Computer Vision:Social Context:Machine Learning:Natural Language Programming:Computing History:Program Analysis and Analyzers:Fundamental Knowledge Representation and Reasoning	[0.72268924 0.7602009  0.76410368 0.7699455  0.79325589 0.83657958 0.84405891 0.84459694 0.86482021 0.89156846 0.91070761 0.91456403 0.91969577 0.93316578 0.93479998 0.93692821]
CS 401	Accelerated Fundamentals of Algorithms I	introduces topics recursion binary breadth algorithms computing shortest stacks queues notation asymptotic np reductions undergraduate baccalaureate computing	Search:Quantum Architectures:Foundational Data Structures and Algorithms:Algorithmic Strategies:Probabilistic Representation and Reasoning:Complexity:Logical Representation and Reasoning:Perception and Computer Vision:Program Analysis and Analyzers:Calculus:Machine Learning:Interactive Computing Platforms:Algorithms	[0.51816993 0.70281786 0.72681682 0.76639043 0.78912878 0.79701718 0.82659907 0.84670299 0.87256117 0.87710765 0.89574123 0.89650853 0.89994602]
CS 402	Accelerated Fundamentals of Computing II	abstractions reusable software reviews encapsulation polymorphism inheritance database programming concurrent programming undergraduate enrollment computing accelerator ican instructor baccalaureate computing	Agents and Cognitive Systems:Advanced Programming Constructs:Fundamental Programming Concepts and Practices:Data Analytics:Design Principles of Programming Languages:Product Requirements:Interactive:Social Context:Fundamental Issues:Object-Oriented Programming:Teamwork	[0.72533998 0.74766021 0.83212548 0.8405829  0.8545418  0.87029997 0.88759753 0.88820726 0.89404724 0.89459777 0.89845642]
CS 403	Accelerated Fundamentals of Algorithms II	introduces topics paradigms algorithm divide conquer greedy recursive programming solving recurrences divide conquer algorithms algorithms computations automata turing reductions undergraduate enrollment computing accelerator ican instructor baccalaureate computing	Quantum Architectures:Search:Probabilistic Representation and Reasoning:Complexity:Perception and Computer Vision:Logical Representation and Reasoning:Fundamental Issues:Interactive Computing Platforms:Logic Programming:Foundational Data Structures and Algorithms:Machine Learning:Calculus:Discrete Mathematics:Fundamental Knowledge Representation and Reasoning:Algorithmic Strategies:Cryptography:Natural Language Programming:Algorithms:Data Modeling:Functional Programming:Data Analytics:Agents and Cognitive Systems:Program Analysis and Analyzers:Software Construction:Robotics:Social Context:Computing History:Computational Models and Formal Languages:Formal Semantics:Probability:Applications and Societal Impact:Design Principles of Programming Languages:Language Pragmatics	[0.47397085 0.49776008 0.72024205 0.79260875 0.80469422 0.81177623 0.83107298 0.85925025 0.86742919 0.87238151 0.87652371 0.88440046 0.89590609 0.89758867 0.90776418 0.91475926 0.91639598 0.92389224 0.93654068 0.94852816 0.9545663  0.96131522 0.96382334 0.970384 0.97324933 0.9813833  0.99285597 0.99841934 1.00589602 1.02191171 1.0305593  1.03174833 1.03199203]
CS 407	Cryptography	cryptography toolbox tolerant protocols securely outsourcing computation untrusted introduce cryptography guarantees protocol primitives undergraduate cryptographic cryptography	Cryptography:Secure Processor Architectures:Role and Purpose of Operating Systems:Foundational Security:System Security:Network Security:Secure Coding:Mobile Platforms:Security Governance:Professional Ethics:Agents and Cognitive Systems:Network Fundamentals	[0.6037121  0.84317502 0.91322337 0.98579324 0.9925831  1.00305295 1.02926723 1.0538668  1.0606466  1.06707851 1.07116836 1.07244953]
CS 409	The Art of Web Programming	server technologies web topics web browsers html css javascript http ajax json expose stack web javascript frameworks scaffold mvc architectures asynchronous programming culminates database web	Web Platforms:Mobile Platforms:Software Design:Common Aspects/Shared Concerns:Event-Driven and Reactive Programming:Formal Development Methodologies:Network Fundamentals:Role and Purpose of Operating Systems:Networked Applications:Real-time and Embedded Systems:Economies of Computing:Routing and Forwarding:Communication	[0.68908235 0.98861715 1.05614045 1.07881791 1.10957937 1.11745189 1.13790877 1.14487075 1.14871981 1.15405216 1.16380193 1.16495242 1.16704117]
CS 410	Text Information Systems	implementation retrieval boolean probabilistic categorization filtering clustering retrieval implementation web	Natural Language Programming:Fundamental Knowledge Representation and Reasoning:Probabilistic Representation and Reasoning:Computing History:Machine Learning:Query Processing:Interactive Computing Platforms:Logical Representation and Reasoning:Agents and Cognitive Systems:Search:Foundational Data Structures and Algorithms:Fundamental Issues:Robotics:Perception and Computer Vision:Data Modeling	[0.86036982 0.89810885 0.91590694 0.92131385 0.92144504 0.95161281 0.95989052 0.9604782  0.97995016 0.98511008 0.99087875 0.99793875 1.01339939 1.01457802 1.01709801]
CS 411	Database Systems	databases entity hierarchical relational dependencies implementation optimization query integrity concurrency database	Core Database System Concepts:Relational Databases:NoSQL Systems:Distributed Databases/Cloud Computing:Query Processing:Semi-structured and Unstructured Databases:Query Construction:DBMS Internals:File Systems API and Implementation:Software Design:Mobile Platforms:Programs:Formal Development Methodologies:Tools and Environments:Fundamental Programming Concepts and Practices:Memory Management	[0.65184827 0.67485572 0.72058723 0.84404345 0.88878274 0.92459512 0.97901954 1.07332466 1.14200816 1.14926072 1.15201282 1.15853782 1.16799707 1.17347146 1.17494543 1.17652078]
CS 412	Introduction to Data Mining	warehousing mining implementation warehouse analytical olap mining implementations	Core Database System Concepts:Distributed Databases/Cloud Computing:NoSQL Systems:Data Analytics:Agents and Cognitive Systems:Interactive Computing Platforms:Data Modeling:Web:Social Context	[0.76190661 0.7822205  0.79739527 0.90630785 0.91208349 0.93705769 0.94601241 0.94697101 0.94999828]
CS 413	Intro to Combinatorics	permutations generating recurrence inclusion exclusion polya instructor	Discrete Mathematics:Logic Programming:Computational Models and Formal Languages:Formal Semantics:Search:Complexity:Logical Representation and Reasoning:Quantum Architectures:Calculus:Probabilistic Representation and Reasoning:Language Pragmatics:Foundational Data Structures and Algorithms:Fundamental Issues	[0.65098819 0.68945437 0.80446615 0.82197447 0.8221532  0.87932664 0.90823912 0.91541563 0.95309557 0.95584356 1.00177742 1.00383959 1.00414847]
CS 414	Multimedia Systems	multimedia audio video encoding scheduling algorithms multimedia os multimedia protocols synchronization schemes user interface multimedia teleservices	Common Aspects/Shared Concerns:Device Management:Embedded Platforms:Secure Processor Architectures:Interfacing and Communication:Networked Applications:Role and Purpose of Operating Systems:Heterogeneous Architectures:System Performance:Overview of Computer Systems:Principles of Operating Systems:Basic Concepts:Mobile Platforms:Emerging Topics:Foundational Security:Tangible/Physical Computing:Sustainability:Single Hop Communication:System Security:Performance Evaluation:Sustainability Issues:Fault Tolerance	[0.9397939  0.9472601  0.95515308 0.96034095 0.99702216 1.01423886 1.01467314 1.02261285 1.02412676 1.03319046 1.0421163  1.04270721 1.04656957 1.04834022 1.05456449 1.05847918 1.06029023 1.06274304 1.06925818 1.07476406 1.07648258 1.07883327]
CS 416	Data Visualization	databases graphics perceptual utilize user datasets topics charts dashboards user	Visualization:Economies of Computing:Web Platforms:Computing History:Mobile Platforms:Understanding the User; Individual Goals and Interactions With Others:Data Analytics:Social Context:Teamwork:Interactive Computing Platforms:Agents and Cognitive Systems:Semi-structured and Unstructured Databases:Digital Forensics	[1.05090078 1.08330794 1.09762314 1.09815551 1.10072131 1.10384786 1.1152547  1.11785717 1.12137416 1.12644526 1.1335574  1.13394906 1.1341155 ]
CS 417	Virtual Reality	fundamentals virtual vr implementing vr topics audio tracking psychophysics user interfaces vr analyzing vr	Immersion:Tangible/Physical Computing:Robot Platforms:Common Aspects/Shared Concerns:Shading and Advanced Rendering:Embedded Platforms:Computer Animation	[0.38611885 0.90685734 0.98974205 1.01382478 1.08616682 1.08908642 1.09012933]
CS 418	Interactive Computer Graphics	computational modeling rendering animating	Applied Rendering Techniques:Shading and Advanced Rendering:Computer Animation:Simulation:Visualization:Interactive Computing Platforms:Geometric Modeling:Fundamental Concepts:Perception and Computer Vision:Image Processing:Quantum Architectures:Robot Platforms:Fundamental Issues:Computing History:Agents and Cognitive Systems:Data Modeling:Probabilistic Representation and Reasoning:Immersion:Search:Data Analytics:Calculus:Machine Learning:Social Context:Linear Algebra:Complexity	[0.62182342 0.63327459 0.78352337 0.82325738 0.86060122 0.86114631 0.90995977 0.93971392 0.94981417 1.00280098 1.01142838 1.01397578 1.03970849 1.05659452 1.06224635 1.06821408 1.07398303 1.08445953 1.08995043 1.09169473 1.09760119 1.10820521 1.11538353 1.1182836 1.11959279]
CS 419	Production Computer Graphics	displaying rendering algebraic splines gaussian bump fractals geometry radiosity texturing animation visualization	Applied Rendering Techniques:Shading and Advanced Rendering:Simulation:Computer Animation:Geometric Modeling:Fundamental Concepts:Visualization:Image Processing:Perception and Computer Vision:Interactive Computing Platforms:Quantum Architectures:Immersion:Robot Platforms:Calculus:Linear Algebra:Probabilistic Representation and Reasoning:Complexity:Machine Learning:Probability:Statistics	[0.40437297 0.45521467 0.60898347 0.72306759 0.7407932  0.87989839 0.89260184 0.90458357 0.91618722 0.96765426 0.9925316  1.02703348 1.04292832 1.0551203  1.06190012 1.0785257  1.08990144 1.1016195 1.10392235 1.1044913 ]
CS 420	Parallel Progrmg: Sci & Engrg	computers programming debugging	Common Aspects/Shared Concerns:Mobile Platforms:Heterogeneous Architectures:Formal Development Methodologies:Web Platforms:Basic Concepts:Role and Purpose of Operating Systems	[0.92038761 0.95850606 0.98968245 0.99910674 1.00667019 1.00801906 1.00827683]
