Course	Coursename	Description	ACM_Matches	ACM_Match_Score
CS 512	Data Mining Principles	algorithms mining descriptive predictive mining mining sequential clustering outlier fraud detection web biomedical mining privacy mining frontiers	Agents:Advanced Machine Learning:Modeling and Simulation:Data, Information, and Knowledge:Data Mining:Fundamental Issues:Introduction to Modeling and Simulation:Natural Language Processing:Reasoning Under Uncertainty:Statistical Methods for HCI:Information Storage and Retrieval:Basic Machine Learning:Interactive Visualization:Static Analysis:Perception and Computer Vision:Advanced Search:Advanced Representation and Reasoning:Design-Oriented HCI:User-Centered Design and Testing:Algorithmic Strategies:Digital Forensics:Advanced Data Structures, Algorithms, and Analysis:Professional Ethics:Economies of Computing:Parallel Algorithms, Analysis, and Programming:Discrete Probability:Sustainability:Algorithms and Design:Formal Models and Semantics:Formal Methods:Basic Knowledge Representation and Reasoning:Defensive Programming:Visualization	[0.54001458 0.60164958 0.65354781 0.68487221 0.72781264 0.76584072 0.77385528 0.7770539  0.80985298 0.81730387 0.82877978 0.84748283 0.86692532 0.87488392 0.88758955 0.91125281 0.9195581  0.9288894 0.93901869 0.96301818 0.9776364  0.98543627 0.9859976  0.99680357 0.99893314 1.00889786 1.01194234 1.02006416 1.02098268 1.03443985 1.04233091 1.04695141 1.0476688 ]
CS 513	Theory & Practice of Data Cleaning	cleansing assessing curation identifies lifecycle reviews checking database schema	Software Verification and Validation:Privacy and Civil Liberties:Professional Communication:Defensive Programming:Foundations:Data, Information, and Knowledge:Professional Ethics:Economies of Computing	[0.83236822 1.0191514  1.02682046 1.04791098 1.0580306  1.0621614 1.06262894 1.06461937]
CS 514	Advanced Topics in Network Science	topics architecture mining algorithms topics offerings offerings overlap cs prerequisites corequisites	Mobile Platforms:User-Centered Design and Testing:Introduction:Agents:Design-Oriented HCI:Social Networking:Development Methods:Professional Ethics:Software Process:Information Storage and Retrieval:Digital Forensics:New Interactive Technologies:Economies of Computing:Professional Communication	[0.68415363 0.71534173 0.79499337 0.8257007  0.85921755 0.91739835 0.92353223 0.93039707 0.94117067 0.95505238 0.96421316 0.97948498 0.98172667 0.98326225]
CS 519	Scientific Visualization	visualization computational schemes scalar tensor isosurface visualization monitoring interactive steering	Visualization:Interactive Visualization:Data Mining:Geometric Modeling:Data, Information, and Knowledge:Statistical Methods for HCI:Introduction to Modeling and Simulation:Modeling and Simulation:Advanced Rendering	[0.36383419 0.71511528 0.76305495 0.76712216 0.79562721 0.84600434 0.86667588 0.86744796 0.87146374]
CS 521	Advanced Topics in Programming Systems	topics verifying software checking automated verification automated runtime verification verified algorithms programming topics offerings offerings overlap cs prerequisites corequisites	Software Project Management:Secure Software Engineering:Principles of Secure Design:Foundational Concepts in Security:Tools and Environments:Software Evolution:Software Process:Professional Ethics	[0.75444125 0.76361908 0.8121259  0.81935144 0.86336121 0.87769485 0.87795277 0.87990229]
CS 522	Programming Language Semantics	programming programming meta interpreters typed untyped polymorphic lambda calculi denotational semantics	Formal Semantics:Advanced Programming Constructs:Type Systems:Basic Logic:Functional Programming:Proof Techniques:Language Pragmatics:Logic Programming:Basic Knowledge Representation and Reasoning:Program Representation:Development Methods:Compiler Semantic Analysis:Advanced Representation and Reasoning:Communication and Coordination:Advanced Automata Theory and Computability:Formal Methods	[0.70321382 0.81669095 0.85561125 0.94368647 0.94680676 0.96933831 0.97326862 0.97584371 0.98182644 0.98941738 0.99243962 1.00090538 1.00251389 1.00704963 1.00911493 1.01143173]
CS 523	Advanced Operating Systems	resource architectures virtual interprocess switching migration balancing	Cross-Layer Communications:Cloud Computing:Multiprocessing and Alternative Architectures:Software Project Management:Operating System Principles:Secure Software Engineering:Computational Paradigms:Parallelism:Software Evolution:Parallel Architecture:Performance Enhancements:Principles of Secure Design:Memory Management:Processing:Proximity	[0.71565712 0.74713016 0.7581966  0.79000318 0.79162023 0.81445316 0.81604375 0.8220225  0.84489693 0.85841217 0.88034486 0.88087856 0.89040708 0.89299705 0.89429924]
CS 524	Concurrent Progrmg Languages	concurrency concurrent programming concurrent computation algebras nets concurrent programming semantics correctness concurrent	Parallelism:Parallelism Fundamentals:Concurrency and Parallelism:Concurrency:Parallel Decomposition:Communication and Coordination:Parallel Performance:Evaluation:Processing:Distributed Systems:Multiprocessing and Alternative Architectures:Resource Allocation and Scheduling:Formal Models and Semantics:Quantitative Evaluation:Scheduling and Dispatch:Parallel Architecture:Defensive Programming:Device Management	[0.51546391 0.52870652 0.62419653 0.64183434 0.79957026 0.82012424 0.82269955 0.84391761 0.86166465 0.89588951 0.91182875 0.92349743 0.9327476  0.93872559 0.97092296 0.98284235 0.98355663 0.98635674]
CS 525	Advanced Distributed Systems	peer peer sensor computing methodologies overlaps protocol critiques presentations	Routing and Forwarding:New Interactive Technologies:Social Context:Mobility:Overview of Operating Systems:Introduction:Collaboration and Communication:Networked Applications:Design-Oriented HCI:Software Process:Software Evolution:Cloud Computing:Resource Allocation:Mobile Platforms:Distributed Systems:Principles of Secure Design:Reliable Data Delivery:Cross-Layer Communications:Secure Software Engineering:Interfacing and Communication:Programming Interactive Systems:Operating System Principles:Device Management:Digital Forensics	[0.7809656  0.85685395 0.85837681 0.90066759 0.90955537 0.91315683 0.91720795 0.93149304 0.95997033 0.96268385 0.96801608 0.96919422 0.9816365  0.99602495 1.00184551 1.00430611 1.0134299  1.0199082 1.02054913 1.0246378  1.02614773 1.03342035 1.03471518 1.03482961]
CS 526	Advanced Compiler Construction	incremental interactive compiling correction optimization generators	Code Generation:Processing:Static Analysis:System Performance Evaluation:Language Translation and Execution:Evaluation:Formal Models and Semantics:Concurrency and Parallelism:Quantitative Evaluation:Defensive Programming:Parallelism Fundamentals:Functional Organization:Parallelism:Formal Methods:Parallel Performance:Parallel Algorithms, Analysis, and Programming	[0.5584309  0.8252968  0.8511517  0.87359983 0.90476765 0.91618889 0.96747212 0.98829839 0.99930404 1.00210022 1.01310547 1.01487417 1.02369532 1.04302264 1.0455101  1.04604041]
