Course	Coursename	Description	ACM_Matches	ACM_Match_Score
CS 100	Freshman Orientation	majors overview	User-Centered Design and Testing:Professional Ethics:Digital Forensics:Design-Oriented HCI:Agents:Intellectual Property:Professional Communication:Economies of Computing:History:Privacy and Civil Liberties:Mobile Platforms:Social Networking:Software Process:Information Storage and Retrieval:Security Policy and Governance:Data, Information, and Knowledge:Foundations:Social Context:Software Verification and Validation:Data Mining	[0.94446215 0.95703219 1.00421387 1.04041658 1.05249051 1.07161032 1.07694023 1.07986578 1.10204931 1.10651201 1.12575009 1.12845383 1.12964268 1.13200195 1.13470471 1.13969467 1.15393071 1.15719733 1.15783423 1.1584626 ]
CS 101	Intro Computing: Engrg & Sci	computing solving programming algorithms computers solving majors satisfies criteria quantitative ii	Modeling and Simulation:Agents:Introduction to Modeling and Simulation:Advanced Machine Learning:Advanced Representation and Reasoning:Fundamental Issues:Formal Models and Semantics:Static Analysis:Reasoning Under Uncertainty:Statistical Methods for HCI:Advanced Search:Algorithmic Strategies	[0.51455358 0.6979051  0.70556551 0.78497599 0.79624461 0.80711274 0.84704634 0.84949338 0.85599103 0.87505764 0.8798114  0.88084328]
CS 102	Little Bits to Big Ideas	computing topics computers algorithms computational computing cryptography internet solving modeling simulation	Agents:Modeling and Simulation:Introduction to Modeling and Simulation:Advanced Machine Learning:Design-Oriented HCI:Fundamental Issues:Data Mining:Data, Information, and Knowledge:Digital Forensics:Perception and Computer Vision:Reasoning Under Uncertainty:Interactive Visualization	[0.56043982 0.65679341 0.74659955 0.75814419 0.78704194 0.82956891 0.8466697  0.85598267 0.86296733 0.87406432 0.87795986 0.87816474]
CS 105	Intro Computing: Non-Tech	computing interrelationships hardware software packages spreadsheets databases programming majors satisfies criteria quantitative	Agents:Design-Oriented HCI:Modeling and Simulation:Data Mining:Professional Ethics:Digital Forensics:Economies of Computing:Interactive Visualization:Data, Information, and Knowledge:User-Centered Design and Testing:Information Storage and Retrieval:Introduction to Modeling and Simulation:Advanced Machine Learning:History:Fundamental Issues:Software Process:Mobile Platforms:Natural Language Processing:Static Analysis:Statistical Methods for HCI:Reasoning Under Uncertainty	[0.68123866 0.71131341 0.76041798 0.76352894 0.7701055  0.77119467 0.78215166 0.81015313 0.8649512  0.86976768 0.8806192  0.8896667 0.92280955 0.93165606 0.94084813 0.9446243  0.9467488  0.96546357 0.97553694 0.97746507 0.97793957]
CS 107	Data Science Discovery	computation relevance datasets analyze privacy satisfies criteria quantitative	Fundamental Issues:Statistical Methods for HCI:Static Analysis:Discrete Probability:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Modeling and Simulation:Advanced Machine Learning:Reasoning Under Uncertainty:Agents:Information Storage and Retrieval:Natural Language Processing:Interactive Visualization:Formal Models and Semantics:Data, Information, and Knowledge:Data Mining:Basic Analysis:Sustainability:Advanced Search:Numerical Analysis:Perception and Computer Vision:Basic Machine Learning:Basic Type Systems:Basics of Counting:Basic Knowledge Representation and Reasoning:Advanced Data Structures, Algorithms, and Analysis:Sets, Relations, and Functions:Algorithmic Strategies:Fundamental Data Structures and Algorithms:Defensive Programming:Basic Search Strategies:Design-Oriented HCI	[0.73705495 0.79016579 0.82767737 0.84362872 0.84862746 0.89194153 0.90061165 0.90925638 0.91224288 0.91684439 0.93158285 0.94303887 0.95694795 0.95926417 0.9627942  0.97417726 0.98048043 0.9981786 1.00104554 1.01271123 1.01494574 1.02370013 1.03703441 1.04605214 1.04741273 1.05005864 1.05645136 1.05759849 1.06039202 1.06843744 1.06919784 1.06949123]
CS 124	Introduction to Computer Science I	computing solving computational majors computing satisfies criteria quantitative	Modeling and Simulation:Statistical Methods for HCI:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Fundamental Issues:Agents:Static Analysis:Advanced Machine Learning:Reasoning Under Uncertainty:Formal Models and Semantics:Basic Analysis:Numerical Analysis:Basic Search Strategies:Advanced Search:Basics of Counting	[0.59883155 0.67984508 0.69877435 0.71153267 0.71527458 0.77495179 0.79286263 0.8127675  0.81829227 0.83109715 0.84044972 0.8469647 0.85709063 0.85796804 0.85950371]
CS 125	Introduction to Computer Science	computing solving computational majors computing satisfies criteria quantitative	Modeling and Simulation:Statistical Methods for HCI:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Fundamental Issues:Agents:Static Analysis:Advanced Machine Learning:Reasoning Under Uncertainty:Formal Models and Semantics:Basic Analysis:Numerical Analysis:Basic Search Strategies:Advanced Search:Basics of Counting	[0.59883155 0.67984508 0.69877435 0.71153267 0.71527458 0.77495179 0.79286263 0.8127675  0.81829227 0.83109715 0.84044972 0.8469647 0.85709063 0.85796804 0.85950371]
CS 126	Software Design Studio	software documentation debugging software majors	Secure Software Engineering:Software Process:Software Project Management:Software Evolution:Principles of Secure Design:History:Platform Security:Industrial Platforms:Tools and Environments:Digital Forensics:Design-Oriented HCI:Professional Ethics:Introduction:Collaboration and Communication:Economies of Computing:Mobile Platforms:Social Context:Professional Communication:Overview of Operating Systems:Operating System Principles:Cross-Layer Communications	[0.61196277 0.70914686 0.72302591 0.74719903 0.85917842 0.85967852 0.87048104 0.88200841 0.91377547 0.91685576 0.93127656 0.9547246 0.9555674  0.96075853 0.97296663 0.97716429 0.98838561 0.99556005 1.00111165 1.00557263 1.00741431]
CS 128	Introduction to Computer Science II	computing solving computational satisfies criteria quantitative ii	Modeling and Simulation:Statistical Methods for HCI:Advanced Representation and Reasoning:Introduction to Modeling and Simulation:Numerical Analysis:Reasoning Under Uncertainty:Fundamental Issues:Basic Analysis:Basic Search Strategies:Advanced Machine Learning:Basic Knowledge Representation and Reasoning:Formal Models and Semantics:Advanced Search:Basics of Counting:Discrete Probability	[0.62941904 0.65519172 0.73108511 0.75628082 0.75850283 0.78465684 0.78728191 0.80015178 0.80514408 0.81330353 0.81613003 0.83191407 0.8402721  0.84146406 0.84419271]
CS 173	Discrete Structures	discrete propositions boolean algebra induction recursion graphs math	Basics of Counting:Basic Knowledge Representation and Reasoning:Advanced Representation and Reasoning:Sets, Relations, and Functions:Basic Logic:Logic Programming:Proof Techniques:Basic Type Systems	[0.41041467 0.6232174  0.70920461 0.7478628  0.76708895 0.81484576 0.81701133 0.81738366]
CS 196	Freshman Honors	concurrently	Parallelism Fundamentals:Parallelism:Concurrency and Parallelism:Transaction Processing:Distributed Systems:Concurrency:Resource Allocation and Scheduling:Evaluation:Scheduling and Dispatch:Parallel Architecture:Computational Paradigms:Multiprocessing and Alternative Architectures:Parallel Decomposition:Device Management:Processing:Parallel Performance:Proximity:Performance Enhancements:Memory System Organization and Architecture:Local Area Networks:Cloud Computing:Quantitative Evaluation:Functional Organization:Assembly Level Machine Organization:Memory Management:Real Time and Embedded Systems:Resource Allocation	[0.94835707 0.99675999 1.01429608 1.04117287 1.06598301 1.07630983 1.08133427 1.08887132 1.09289448 1.09403672 1.10295444 1.10358277 1.1070378  1.10889174 1.13521357 1.14070119 1.14588597 1.14940053 1.16679209 1.17284564 1.18364432 1.18800334 1.19115931 1.19126406 1.19848821 1.19904029 1.19968798]
CS 199	Undergraduate Open Seminar in Computer Science	topics grading	User-Centered Design and Testing:Professional Ethics:Information Storage and Retrieval:Digital Forensics:Agents:Design-Oriented HCI:Intellectual Property:Professional Communication:Mobile Platforms:Economies of Computing:Data, Information, and Knowledge:History:Advanced Machine Learning:Social Networking:Modeling and Simulation:Development Methods	[0.98221425 1.07286824 1.08748465 1.08753508 1.09466919 1.10468657 1.1302281  1.14237898 1.14902715 1.16006342 1.1648006  1.16679157 1.16859559 1.17580336 1.17680115 1.17683875]
CS 210	Ethical & Professional Issues	computing licensing privacy cs	Privacy and Civil Liberties:Security Policy and Governance:Foundational Concepts in Security:Intellectual Property:Human Factors and Security:Professional Ethics:Software Verification and Validation:Security Policies, Laws, and Computer Crimes:Economies of Computing:Threats and Attacks:Sustainability:Design-Oriented HCI	[0.6171489  0.67075329 0.77605365 0.79090737 0.85253823 0.87466701 0.89088727 0.93550946 0.99382715 1.03154637 1.03155208 1.03375222]
CS 211	Ethical and Professional Conduct	navigating computing privacy cybersecurity analyze perspectives professionally technically peer workshops editing revising cs satisfies criteria	Professional Ethics:User-Centered Design and Testing:Design-Oriented HCI:Agents:Digital Forensics:Professional Communication:Economies of Computing:Foundations:Mobile Platforms:Privacy and Civil Liberties:Intellectual Property:Requirements Engineering:Sustainability:Security Policy and Governance:Software Verification and Validation:Software Process:History:Fundamental Issues:Principles of Secure Design:Data, Information, and Knowledge:Software Construction:Information Storage and Retrieval:Introduction to Modeling and Simulation	[0.61511612 0.7297774  0.77457772 0.83252061 0.84000529 0.92509698 0.92527583 0.93026662 0.95765878 0.96354699 0.9756039  0.98459995 0.99382441 0.99996021 1.0031161  1.01193073 1.04000193 1.05076318 1.05995207 1.06093405 1.0736566  1.07526464 1.07865877]
CS 222	Software Design Lab	implementation software software implementation deployment emphasizes software framework documentation teamwork majors undergraduate curricula	Software Process:Secure Software Engineering:Software Evolution:Principles of Secure Design:Mobile Platforms:Software Project Management:Design-Oriented HCI:Professional Ethics:Digital Forensics:Introduction:Industrial Platforms:Economies of Computing:History:New Interactive Technologies:Operating System Principles:Agents:Professional Communication:Tools and Environments:Collaboration and Communication:Cross-Layer Communications:User-Centered Design and Testing:Overview of Operating Systems:Social Context:Programming Interactive Systems:Cloud Computing:Platform Security:Development Methods:Software Verification and Validation:Robotics	[0.51020897 0.55909701 0.59690087 0.5994398  0.65264378 0.71769717 0.73995532 0.74530055 0.75565371 0.75820889 0.78432737 0.81014092 0.81702297 0.83872217 0.84576643 0.85128995 0.85324452 0.88298771 0.88760775 0.89012266 0.92227123 0.93475031 0.94441093 0.97627314 0.97788927 1.00257635 1.00860615 1.00982477 1.01215085]
CS 225	Data Structures	abstractions stacks queues implementation programming computational graphs algorithms satisfies criteria quantitative ii	Modeling and Simulation:Advanced Representation and Reasoning:Advanced Machine Learning:Algorithmic Strategies:Fundamental Issues:Introduction to Modeling and Simulation:Algorithms and Design:Reasoning Under Uncertainty	[0.53397662 0.63712723 0.67011167 0.68568739 0.69447275 0.71118421 0.7118967  0.71349558]
CS 233	Computer Architecture	fundamentals architecture digital programming implementation architectures optimization software hardware primitives parallelism	Multiprocessing and Alternative Architectures:Industrial Platforms:Performance Enhancements:Processing:Assembly Level Machine Organization:Digital Logic and Digital Systems:Operating System Principles	[0.66650513 0.67605197 0.67746153 0.68922673 0.7183073  0.7214324 0.72397625]
CS 240	Introduction to Computer Systems	basics representations processors fetch execute hierarchy directories programming	Fundamental Data Structures:Processing:Concurrency and Parallelism:Cross-Layer Communications:Parallelism:Evaluation:Development Methods:Introduction:Parallel Performance:Multiprocessing and Alternative Architectures:Program Representation:Computational Paradigms:Quantitative Evaluation:Static Analysis:Operating System Principles:Communication and Coordination:Parallel Decomposition:Device Management:Cloud Computing	[0.94375092 0.96488952 0.96954909 0.98072184 0.99456116 0.99612955 0.99691243 1.01676616 1.01923347 1.03064972 1.03407379 1.03938742 1.04160649 1.04382368 1.04417933 1.05244362 1.058889   1.05913202 1.0592461 ]
CS 241	System Programming	basics programming posix inter synchronization directories programming socket programming rpc programming programming debugging ece	Communication and Coordination:Development Methods:Software Construction:Concurrency:Parallelism:Defensive Programming:Cross-Layer Communications:Software Design:Parallelism Fundamentals:Concurrency and Parallelism:Principles of Secure Design:Introduction:Advanced Programming Constructs:Operating System Principles:Overview of Operating Systems:Multiprocessing and Alternative Architectures:Mobile Platforms:Processing:Parallel Decomposition:Distributed Systems:New Interactive Technologies:Formal Models and Semantics:Device Management	[0.68767661 0.81936761 0.82059988 0.9097502  0.94642417 0.96251115 0.96640732 0.97779294 0.98996995 1.01494453 1.02637241 1.02852087 1.05938526 1.06921817 1.07033594 1.07701094 1.08140907 1.08231991 1.08579731 1.09292142 1.09853503 1.10056632 1.10208307]
CS 242	Programming Studio	programming lab programming	Software Construction:Agents:Digital Forensics:Design-Oriented HCI:Development Methods:Professional Ethics:User-Centered Design and Testing:Mobile Platforms:Communication and Coordination:Software Process:Economies of Computing:Introduction:Professional Communication:History:Principles of Secure Design:Defensive Programming	[0.84687589 0.93288001 0.95446165 0.98656092 1.01103319 1.01521347 1.02199107 1.03779227 1.04833613 1.04921486 1.0634572  1.0719981 1.07324135 1.08803514 1.08943606 1.09085575]
CS 265	Innovation Illinois: From Accessible Design to Supercomputing Cultures	innovation introduces histories uiuc interdisciplinary innovations researchers humanities histories innovations innovation campuses accessibility online basics video editing video	User-Centered Design and Testing:Professional Ethics:Digital Forensics:Design-Oriented HCI:Agents:Economies of Computing:Professional Communication:Intellectual Property:History:Information Storage and Retrieval:Mobile Platforms:Software Process:Privacy and Civil Liberties:Data, Information, and Knowledge:Data Mining:Modeling and Simulation:Fundamental Issues:Sustainability:Introduction to Modeling and Simulation:Collaboration and Communication:Security Policy and Governance:Advanced Machine Learning	[0.78198503 0.79059011 0.81149695 0.82513249 0.82989015 0.97327971 0.99253715 1.00161146 1.01391623 1.02235435 1.02628692 1.02685772 1.05534776 1.05730724 1.06684538 1.06971601 1.07396348 1.07764012 1.07987641 1.08740993 1.08848719 1.08957587]
CS 277	Algorithms and Data Structures for Data Science	algorithms topics algorithm notation stacks queues graphs basics discrete algorithm greedy divide conquer programming discrete optimization concurrently cs	Parallel Algorithms, Analysis, and Programming:Algorithmic Strategies:Modeling and Simulation:Advanced Data Structures, Algorithms, and Analysis:Algorithms and Design:Advanced Search:Introduction to Modeling and Simulation:Basic Search Strategies:Advanced Machine Learning:Perception and Computer Vision:Fundamental Data Structures and Algorithms:Reasoning Under Uncertainty:Formal Models and Semantics:Static Analysis:Basic Analysis:Advanced Representation and Reasoning:Basics of Counting	[0.49812456 0.61941555 0.64210288 0.6585524  0.66053503 0.7304736 0.76365519 0.76867367 0.78162972 0.80444448 0.80875248 0.81066029 0.83981223 0.85438707 0.86844219 0.87309824 0.87469296]
CS 296	Honors Course	concurrently	Parallelism Fundamentals:Parallelism:Concurrency and Parallelism:Transaction Processing:Distributed Systems:Concurrency:Resource Allocation and Scheduling:Evaluation:Scheduling and Dispatch:Parallel Architecture:Computational Paradigms:Multiprocessing and Alternative Architectures:Parallel Decomposition:Device Management:Processing:Parallel Performance:Proximity:Performance Enhancements:Memory System Organization and Architecture:Local Area Networks:Cloud Computing:Quantitative Evaluation:Functional Organization:Assembly Level Machine Organization:Memory Management:Real Time and Embedded Systems:Resource Allocation	[0.94835707 0.99675999 1.01429608 1.04117287 1.06598301 1.07630983 1.08133427 1.08887132 1.09289448 1.09403672 1.10295444 1.10358277 1.1070378  1.10889174 1.13521357 1.14070119 1.14588597 1.14940053 1.16679209 1.17284564 1.18364432 1.18800334 1.19115931 1.19126406 1.19848821 1.19904029 1.19968798]
CS 307	Modeling and Learning in Data Science	modeling solving centric unsupervised supervised interpretability	Advanced Machine Learning:Agents:Modeling and Simulation:Reasoning Under Uncertainty:Introduction to Modeling and Simulation:Natural Language Processing:Fundamental Issues:Statistical Methods for HCI:Basic Machine Learning:Data Mining:Advanced Representation and Reasoning:Data, Information, and Knowledge:Information Storage and Retrieval:Advanced Search:Static Analysis:Perception and Computer Vision:Basic Knowledge Representation and Reasoning:Interactive Visualization:Discrete Probability:Algorithms and Design:Algorithmic Strategies	[0.40755472 0.54203938 0.54678345 0.60468949 0.63266568 0.63974434 0.68269986 0.74633231 0.74703126 0.78212338 0.79999454 0.82291905 0.83914162 0.84616543 0.86556849 0.9124974  0.92285346 0.92370622 0.9440988  0.94485771 0.94730145]
CS 357	Numerical Methods I	fundamentals floating computation equations approximation integrals nonlinear equations programming routines cs las	Numerical Analysis:Basic Analysis:Basics of Counting:Advanced Computational Complexity:Modeling and Simulation:Advanced Representation and Reasoning:Discrete Probability:Statistical Methods for HCI:Reasoning Under Uncertainty:Basic Knowledge Representation and Reasoning:Introduction to Modeling and Simulation:Basic Type Systems:Advanced Data Structures, Algorithms, and Analysis:Advanced Search:Sets, Relations, and Functions:Geometric Modeling:Visualization:Advanced Machine Learning:Static Analysis:Logic Programming:Parallel Algorithms, Analysis, and Programming:Fundamental Data Structures and Algorithms:Algorithmic Strategies	[0.5724086  0.69472421 0.74372378 0.79088778 0.80829362 0.82662854 0.84269943 0.85497425 0.90637274 0.90805764 0.9289579  0.94220784 0.95472038 0.96566454 0.96741992 0.97219908 0.97775526 0.98304184 0.98725438 0.99231593 1.00023699 1.00393978 1.00567871]
CS 361	Probability & Statistics for Computer Science	topics visualizing datasets summarizing descriptive conditional bayes theorem conditional distributions expectation variance covariance theorem markov inequality chebyshev inequality markov chains simulation pagerank algorithm populations likelihood estimation bayes estimation regression majors	Statistical Methods for HCI:Reasoning Under Uncertainty:Discrete Probability:Advanced Machine Learning:Modeling and Simulation:Numerical Analysis:Introduction to Modeling and Simulation:Basic Machine Learning:Natural Language Processing:Fundamental Issues:Advanced Search:Static Analysis:Advanced Representation and Reasoning:Agents:Perception and Computer Vision:Basic Analysis:Data Mining	[0.43859037 0.49838877 0.68877882 0.71425959 0.7521298  0.81930029 0.82235286 0.85265506 0.86620428 0.88332702 0.90365944 0.9114775 0.91422823 0.91780231 0.94142862 0.94342572 0.94629561]
CS 374	Introduction to Algorithms & Models of Computation	algorithms paradigms algorithm recursive algorithms divide conquer algorithms programming greedy algorithms algorithms computation automata turing computation arising algorithm theoretic constraints reductions undecidability np completeness	Algorithms and Design:Algorithmic Strategies:Basic Search Strategies:Parallel Algorithms, Analysis, and Programming:Basics of Counting:Advanced Data Structures, Algorithms, and Analysis:Static Analysis:Logic Programming:Advanced Search:Modeling and Simulation:Fundamental Data Structures and Algorithms:Formal Models and Semantics:Advanced Representation and Reasoning:Basic Knowledge Representation and Reasoning:Introduction to Modeling and Simulation:Advanced Machine Learning:Basic Analysis:Sets, Relations, and Functions:Reasoning Under Uncertainty:Perception and Computer Vision	[0.48671135 0.60451821 0.64174459 0.64333599 0.72526039 0.74272012 0.74496076 0.75543542 0.75913989 0.76166296 0.77482704 0.77766866 0.81774744 0.85733924 0.85886652 0.87365578 0.89129095 0.89749773 0.90278264 0.90667649]
CS 397	Individual Study	 	 	 
CS 398	Special Topics	offerings augment departmental topics prerequisites topics	User-Centered Design and Testing:Professional Ethics:Design-Oriented HCI:Digital Forensics:Professional Communication:Agents:Economies of Computing:Intellectual Property:Information Storage and Retrieval	[0.86995724 0.95027178 0.99799909 0.9999242  1.02678798 1.0310268 1.03989981 1.04106549 1.04244167]
CS 400	Accelerated Fundamentals of Computing I	introduces computing solving computational topics programming conditional loops sorting algorithms visualization programming undergraduate baccalaureate computing	Modeling and Simulation:Agents:Introduction to Modeling and Simulation:Advanced Representation and Reasoning:Static Analysis:Advanced Machine Learning:Formal Models and Semantics:Perception and Computer Vision:Fundamental Issues:Processing:Algorithms and Design:Basics of Counting:Algorithmic Strategies:Parallel Algorithms, Analysis, and Programming	[0.6537452  0.74897698 0.7788534  0.78323354 0.79068313 0.80775872 0.8386487  0.85117361 0.85173881 0.86752441 0.87807169 0.88898831 0.88903828 0.88952976]
CS 401	Accelerated Fundamentals of Algorithms I	introduces topics recursion binary breadth algorithms computing shortest stacks queues notation asymptotic np reductions undergraduate baccalaureate computing	Parallel Algorithms, Analysis, and Programming:Algorithms and Design:Algorithmic Strategies:Basic Search Strategies:Advanced Search:Modeling and Simulation:Advanced Data Structures, Algorithms, and Analysis:Fundamental Data Structures and Algorithms:Static Analysis:Advanced Representation and Reasoning:Basic Analysis:Basics of Counting:Introduction to Modeling and Simulation:Formal Models and Semantics:Advanced Machine Learning:Perception and Computer Vision:Logic Programming:Reasoning Under Uncertainty:Fundamental Issues:Statistical Methods for HCI:Processing:Agents:Basic Knowledge Representation and Reasoning:Basic Type Systems	[0.61692219 0.65716509 0.6731841  0.75132912 0.75378459 0.76008108 0.76816224 0.76998663 0.78280121 0.79302532 0.80073236 0.81230467 0.81720484 0.82057811 0.83847214 0.8571856  0.85859822 0.86390134 0.86511905 0.89160541 0.89443873 0.92645211 0.926562   0.92743817]
CS 402	Accelerated Fundamentals of Computing II	abstractions reusable software reviews encapsulation polymorphism inheritance database programming concurrent programming undergraduate enrollment computing accelerator ican instructor baccalaureate computing	Development Methods:Software Construction:Design-Oriented HCI:Agents:Mobile Platforms:Software Design:Professional Ethics:Principles of Secure Design:User-Centered Design and Testing:Defensive Programming:Introduction:Communication and Coordination:Modeling and Simulation:Digital Forensics:Software Process:Introduction to Modeling and Simulation:New Interactive Technologies:Fundamental Issues:Advanced Representation and Reasoning:Data Mining:Economies of Computing:Formal Methods:Professional Communication:Interactive Visualization:Data, Information, and Knowledge:Advanced Machine Learning:Formal Models and Semantics:Advanced Programming Constructs:Foundations	[0.61822981 0.64216106 0.80516963 0.80519337 0.82853634 0.85337188 0.88388478 0.89731213 0.89934158 0.92025646 0.92420041 0.93248008 0.94935524 0.95246357 0.9574311  0.96777244 0.97667441 0.98007089 0.99038778 0.99509541 1.00288755 1.00681352 1.01247775 1.01727334 1.02193057 1.03682654 1.04298666 1.04696161 1.05047027]
CS 403	Accelerated Fundamentals of Algorithms II	introduces topics paradigms algorithm divide conquer greedy recursive programming solving recurrences divide conquer algorithms algorithms computations automata turing reductions undergraduate enrollment computing accelerator ican instructor baccalaureate computing	Modeling and Simulation:Algorithms and Design:Algorithmic Strategies:Parallel Algorithms, Analysis, and Programming:Advanced Search:Basic Search Strategies:Introduction to Modeling and Simulation:Advanced Machine Learning:Basics of Counting:Advanced Representation and Reasoning:Advanced Data Structures, Algorithms, and Analysis:Reasoning Under Uncertainty:Basic Knowledge Representation and Reasoning:Fundamental Issues:Static Analysis:Perception and Computer Vision	[0.63098928 0.63684311 0.67298085 0.70466939 0.73556248 0.74374738 0.74506118 0.7656771  0.76879751 0.77496072 0.79118845 0.80919609 0.86336468 0.87194757 0.87381915 0.87508464]
CS 407	Cryptography	cryptography toolbox tolerant protocols securely outsourcing computation untrusted introduce cryptography guarantees protocol primitives undergraduate cryptographic cryptography	Cryptography:Foundational Concepts in Security:Platform Security:Cross-Layer Communications:Software Project Management:Parallel Algorithms, Analysis, and Programming:Overview of Operating Systems	[0.68699652 1.02632618 1.05320919 1.06422109 1.0706802  1.0722259 1.07296037]
CS 409	The Art of Web Programming	server technologies web topics web browsers html css javascript http ajax json expose stack web javascript frameworks scaffold mvc architectures asynchronous programming culminates database web	Web Platforms:Web Security:Collaboration and Communication:Programming Interactive Systems:Software Evolution:Introduction:Secure Software Engineering:Cloud Computing:Tools and Environments:Principles of Secure Design:Cross-Layer Communications:Software Process:Operating System Principles:Overview of Operating Systems:Mobile Platforms:Software Project Management:Security and Protection:New Interactive Technologies:Event-Driven and Reactive Programming:Routing and Forwarding:Professional Communication	[0.76415333 0.9115487  0.98282735 1.03966863 1.04693479 1.05284988 1.06726632 1.09761191 1.09924736 1.10188136 1.11956968 1.1284602 1.13548825 1.13605275 1.14234206 1.14310714 1.14957966 1.15160817 1.1620596  1.163993   1.16647087]
CS 410	Text Information Systems	implementation retrieval boolean probabilistic categorization filtering clustering retrieval implementation web	Natural Language Processing:Information Storage and Retrieval:Advanced Machine Learning:Static Analysis:Modeling and Simulation:Reasoning Under Uncertainty:Fundamental Issues:Advanced Data Structures, Algorithms, and Analysis:Parallel Algorithms, Analysis, and Programming:Basic Machine Learning:Advanced Representation and Reasoning:Data, Information, and Knowledge:Data Mining	[0.85359722 0.8828555  0.8829303  0.89953864 0.91994929 0.94337774 0.9472695  0.94977733 0.95222634 0.95701663 0.96123342 0.96312737 0.96376514]
CS 411	Database Systems	databases entity hierarchical relational dependencies implementation optimization query integrity concurrency database	Database Systems:Distributed Databases:Relational Databases:Query Languages:Indexing:Data Modeling:Cloud Computing:Fundamental Data Structures:Physical Database Design:Transaction Processing:Introduction:Memory System Organization and Architecture:Parallel Decomposition:Software Evolution	[0.56814154 0.71427861 0.7153297  0.90305153 0.94609389 0.99909693 1.09731693 1.11952917 1.12463577 1.12655934 1.14370683 1.15313841 1.15477099 1.15962748]
CS 412	Introduction to Data Mining	warehousing mining implementation warehouse analytical olap mining implementations	Distributed Databases:Interactive Visualization:Data Mining:Database Systems:Agents:Economies of Computing:Data, Information, and Knowledge:Modeling and Simulation:Cloud Computing:Introduction to Modeling and Simulation:Design-Oriented HCI:Professional Communication:Software Process:Data Modeling	[0.77964271 0.84675738 0.8779703  0.89915834 0.90062226 0.93170595 0.97025335 1.00536909 1.00875557 1.01138605 1.01307207 1.01795812 1.0203999  1.02088528]
CS 413	Intro to Combinatorics	permutations generating recurrence inclusion exclusion polya instructor	Sets, Relations, and Functions:Basic Knowledge Representation and Reasoning:Proof Techniques:Basics of Counting:Logic Programming:Basic Logic:Advanced Representation and Reasoning:Basic Search Strategies:Formal Semantics:Advanced Automata Theory and Computability:Formal Models and Semantics:Discrete Probability:Algorithms and Design:Modeling and Simulation:Type Systems:Parallel Algorithms, Analysis, and Programming:Numerical Analysis:Basic Analysis:Static Analysis:Algorithmic Strategies	[0.64344967 0.6499956  0.65467661 0.65647764 0.72797934 0.82588497 0.84656391 0.85173876 0.85697743 0.85805554 0.89913836 0.9118453 0.92820372 0.9510205  0.96511472 0.96839816 0.97606855 0.98214994 0.98545462 0.98912885]
CS 414	Multimedia Systems	multimedia audio video encoding scheduling algorithms multimedia os multimedia protocols synchronization schemes user interface multimedia teleservices	Multimedia Systems:Industrial Platforms:Platform Security:Fundamental Concepts:Cross-Layer Communications:Software Project Management:Interfacing and Communication:Secure Software Engineering:New Interactive Technologies:Overview of Operating Systems:Device Management:History:Operating System Principles:Software Evolution:Principles of Secure Design:Resource Allocation:Social Context:Game Platforms:Mixed, Augmented and Virtual Reality:Software Process:Computational Paradigms	[0.5463701  0.93954047 0.9418231  0.9466753  0.95967962 0.99937998 1.00079683 1.01132774 1.01706676 1.02673556 1.02837392 1.03340462 1.03700538 1.0400349  1.04558696 1.05622953 1.06138226 1.06932126 1.07575409 1.07597797 1.07810213]
CS 416	Data Visualization	databases graphics perceptual utilize user datasets topics charts dashboards user	Interactive Visualization:Data Mining:Data, Information, and Knowledge:Social Networking:Designing Interactions:Cloud Computing:Software Evolution:Introduction:User-Centered Design and Testing:Programming Interactive Systems:Information Storage and Retrieval:Secure Software Engineering:Design-Oriented HCI:Database Systems:Economies of Computing:Collaboration and Communication	[0.95412046 0.96215401 0.99495357 1.01806952 1.03194023 1.06487033 1.08315778 1.08834449 1.09795036 1.10288642 1.10524559 1.10971728 1.11200037 1.11693751 1.11791548 1.1185222 ]
CS 417	Virtual Reality	fundamentals virtual vr implementing vr topics audio tracking psychophysics user interfaces vr analyzing vr	Mixed, Augmented and Virtual Reality:Robotics:Fundamental Concepts:Game Platforms:Social Context:Digital Forensics:History:Computer Animation:New Interactive Technologies:Multimedia Systems:Collaboration and Communication	[0.86935243 0.89529497 0.93532861 0.99092922 1.00583971 1.04574083 1.0555848  1.07110078 1.08530326 1.08585642 1.08646847]
CS 418	Interactive Computer Graphics	computational modeling rendering animating	Visualization:Advanced Rendering:Basic Rendering:Computer Animation:Mixed, Augmented and Virtual Reality:Geometric Modeling:Interactive Visualization:Data Mining:Data, Information, and Knowledge:Modeling and Simulation:Introduction to Modeling and Simulation:Perception and Computer Vision:Parallel Algorithms, Analysis, and Programming:Designing Interactions:Statistical Methods for HCI:Agents:Numerical Analysis:Static Analysis:Advanced Search:Fundamental Issues:Robotics:Reasoning Under Uncertainty:Advanced Data Structures, Algorithms, and Analysis:Advanced Representation and Reasoning:Social Networking	[0.64586767 0.65440677 0.71830129 0.74346939 0.76793952 0.83546945 0.86946766 0.93908666 0.95209455 0.99070667 0.99758179 1.01776865 1.03399347 1.04637294 1.05600739 1.06037479 1.07940554 1.07981487 1.09008333 1.09546727 1.1042713  1.10551231 1.11005604 1.11013489 1.11165951]
